price,bed,bath,city,state,zip_code,house_size,city_enc,zip_enc,state_New York,state_New Jersey,latitude,longitude
2140000.0,3.0,3.0,New York,New York,10006,1640.0,2761969.686860528,2474437.704918033,1,0,40.7085,-74.0135
895000.0,1.0,1.0,New York,New York,11238,871.0,2761969.686860528,1648872.9047619049,1,0,40.679,-73.9644
699000.0,4.0,4.0,Staten Island,New York,10306,2440.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
975000.0,2.0,1.0,New York,New York,11218,1240.0,2761969.686860528,1226674.5254237289,1,0,40.6424,-73.9758
999000.0,3.0,2.0,New York,New York,11226,1057.0,2761969.686860528,1012649.1803278688,1,0,40.6467,-73.957
550000.0,1.0,1.0,New York,New York,11226,559.0,2761969.686860528,1012649.1803278688,1,0,40.6467,-73.957
1725000.0,2.0,2.0,New York,New York,11217,1285.0,2761969.686860528,2085903.547619048,1,0,40.6816,-73.9798
468000.0,3.0,3.0,Staten Island,New York,10307,1110.0,773585.7734724293,1068479.150943396,1,0,40.5085,-74.2445
1190000.0,3.0,3.0,Staten Island,New York,10304,3276.0,773585.7734724293,866072.3888888889,1,0,40.6102,-74.0878
898000.0,1.0,1.0,Manhattan,New York,10038,678.0,2993058.858934169,2900396.637168141,1,0,40.7101,-74.0013
559900.0,2.0,1.0,Staten Island,New York,10310,990.0,773585.7734724293,653459.1857142857,1,0,40.6324,-74.1171
780000.0,5.0,2.0,Staten Island,New York,10306,1940.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
399000.0,2.0,1.0,Brooklyn,New York,11214,750.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
850000.0,1.0,1.0,New York,New York,11215,774.0,2761969.686860528,2104641.937062937,1,0,40.6669,-73.9828
2275990.0,2.0,3.0,New York,New York,10038,1408.0,2761969.686860528,2900396.637168141,1,0,40.7101,-74.0013
2700000.0,3.0,3.0,New York,New York,11238,2590.0,2761969.686860528,1648872.9047619049,1,0,40.679,-73.9644
2128000.0,4.0,5.0,Brooklyn,New York,11209,2800.0,1131744.071563981,875259.6513761468,1,0,40.6251,-74.0303
828000.0,4.0,2.0,Staten Island,New York,10306,1220.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
499900.0,1.0,1.0,Staten Island,New York,10308,828.0,773585.7734724293,741919.5638297872,1,0,40.5518,-74.1526
1985000.0,7.0,5.0,Staten Island,New York,10301,4800.0,773585.7734724293,733669.0792682926,1,0,40.6316,-74.0927
1750000.0,5.0,3.0,New York,New York,11224,2360.0,2761969.686860528,591148.6198347107,1,0,40.5767,-73.9884
1575000.0,6.0,3.0,New York,New York,11230,4100.0,2761969.686860528,941484.8181818182,1,0,40.6225,-73.965
